Όνομα;Υπότιτλος;Χονδρική τιμή (€);Λιανική τιμή (€);Περιγραφή;Ιδιότητες;Βασικά χαρακτηριστικά;Χρήση;Συστατικά;Προειδοποιήσεις;Συσκευασία;Χαρακτηριστικά;Κατηγορία;Barcode (EAN);Παραλλαγές (variants);Φωτογραφία;URL επίσημου site;Πηγή;Match
Lamberts Pure Fish Oil 1100mg;Ιχθυέλαιο 5πλής μοριακής απόσταξης των 1100mg;20,30;34,00;Ιχθυέλαιο 5πλής μοριακής απόσταξης των 1100mg;;;;;;;;Ωμέγα Λιπαρά Οξέα;5055148400477;5055148410575;lamberts/pure-fish-oil-1100mg-5055148400477.png;https://lamberts.gr/product/pure-fish-oil-1100mg/;lamberts.gr;Αυτόματο
Lamberts Quercetin 500Mg 60Tabs;;26,80;44,86;Συμπλήρωμα διατροφής Lamberts — LAMBERTS QUERCETIN 500MG 60TABS;;;;;;;;Διάφορα;5055148404918;;lamberts/pure-evening-primrose-oil-500mg-5055148404918.png;;;Χωρίς σελίδα
Lamberts Rhodiola Rosea 1200mg 90tabs;;27,10;45,37;Συμπλήρωμα διατροφής Lamberts — LAMBERTS Rhodiola Rosea 1200mg 90tabs;;;;;;;;Διάφορα;5055148411855;5055148405175;lamberts/soya-lecithin-1200mg-5055148411855.png;;;Χωρίς σελίδα
Lamberts Rosehip 10.000mg;Υψηλής ισχύος τιτλοδοτημένο εκχύλισμα καρπών Αγριοτριανταφυλλιάς;15,10;25,28;Υψηλής ισχύος τιτλοδοτημένο εκχύλισμα καρπών Αγριοτριανταφυλλιάς;;;;;;;;Διάφορα;5055148409074;;lamberts/rosehip-10-000mg-5055148409074.png;https://lamberts.gr/product/rosehip-10-000mg/;lamberts.gr;Αυτόματο
Lamberts Selenium 200μg 60tabs;;11,35;19,32;Συμπλήρωμα διατροφής Lamberts — LAMBERTS Selenium 200μg 60tabs;;;;;;;;Διάφορα;5055148402891;1111111017487, 5000453119934;lamberts/selenium-200-g-a-c-e-5055148402891.png;;;Χωρίς σελίδα
Lamberts Silica Complete 60tabs;;15,70;26,28;Lamberts Silica Complete 60tabs - Συμπλήρωμα Διατροφής για την Υγεία του Δέρματος των Νυχιών & των Μαλλιών;;;;;;;;Διάφορα;5055148410360;;lamberts/silica-complete-60tabs-pharm24-gr-5055148410360.jpg;https://www.pharm24.gr/lamberts-silica-complete-60tabs-p-18623.html;pharm24.gr;Χωρίς σελίδα
Lamberts Co-Enzyme Q10 100mg;Υψηλής ισχύος Συνένζυμο Q10 αυξημένης απορρόφησης;37,85;63,77;Υψηλής ισχύος Συνένζυμο Q10 αυξημένης απορρόφησης;;;;;;;;Διάφορα;5055148410377;5055148402525;lamberts/co-enzyme-q10-100mg-5055148410377.png;https://lamberts.gr/product/co-enzyme-q10-100mg/;lamberts.gr;Αυτόματο
Lamberts Silica 200mg, 90caps;;14,72;25,14;Lamberts Silica 200mg, 90caps - Συμπλήρωμα Διατροφής Πυριτίου για την Ενίσχυση Παραγωγής Κολλαγόνου & Διατήρηση Υγειών Μαλλιών, Νυχιών & Δέρματος;;;;;;;;Διάφορα;5055148400262;;lamberts/silica-200mg-90caps-pharm24-gr-5055148400262.jpg;https://www.pharm24.gr/lamberts-silica-200mg-90caps-p-14055.html;pharm24.gr;Χωρίς σελίδα
Lamberts Turmeric Fast Release;Κουρκουμίνη ταχείας αποδέσμευσης για άμεση απορρόφηση;16,35;27,37;Κουρκουμίνη ταχείας αποδέσμευσης για άμεση απορρόφηση;;;;;;;;Διάφορα;5055148412616;;lamberts/turmeric-fast-release-5055148412616.png;https://lamberts.gr/product/turmeric-fast-release/;lamberts.gr;Αυτόματο
Lamberts Valerian 1600mg 60tabs;;17,79;30,31;Συμπλήρωμα διατροφής Lamberts — LAMBERTS Valerian 1600mg 60tabs;;;;;;;;Διάφορα;5055148401528;;;;;Χωρίς σελίδα
Lamberts Vitamin B-100 Complex;Υψηλής ισχύος σύμπλεγμα Βιταμινών Β;20,15;34,00;Υψηλής ισχύος σύμπλεγμα Βιταμινών Β;;;;;;;;Βιταμίνες;5055148400316;;lamberts/vitamin-b-100-complex-5055148400316.png;https://lamberts.gr/product/vitamin-b-100-complex/;lamberts.gr;Αυτόματο
Lamberts Vitamin B12 1000μg;Υψηλής ισχύος Βιταμίνη Β12 για περιπτώσεις ανεπάρκειας και έλλειψης;12,02;20,00;Υψηλής ισχύος Βιταμίνη Β12 για περιπτώσεις ανεπάρκειας και έλλειψης;;;;;;;;Βιταμίνες;5055148401900;5055148410582;https://lamberts.gr/wp-content/uploads/2025/01/8087-60_-1.png;https://lamberts.gr/product/vitamin-b12-1000mg/;lamberts.gr;Αυτόματο
Lamberts Gentle Vitamin C 500mg;Μη όξινη μορφή Βιταμίνης C;11,88;20,38;Μη όξινη μορφή Βιταμίνης C;;;;;;;;Βιταμίνες;5055148400309;;lamberts/pure-evening-primrose-oil-500mg-5055148400309.png;https://lamberts.gr/product/gentle-vitamin-c-500mg/;lamberts.gr;Για έλεγχο
Lamberts Folic Acid 400μg;Φολικό οξύ σε one-a-day φόρμουλα;7,31;12,52;Φολικό οξύ σε one-a-day φόρμουλα;;;;;;;;Γυναικεία Φροντίδα;5055148400231;;lamberts/folic-acid-400-g-5055148400231.png;https://lamberts.gr/product/folic-acid-400mg/;lamberts.gr;Αυτόματο
Lamberts Myo-Inositol Powder, 200g;;28,00;46,90;Η μυοϊνοσιτόλη αποτελεί ένα από τα 9 ισομερή της ινοσιτόλης, μιας βιταμίνης που υπάγεται στο σύμπλεγμα των Βιταμινών Β;;;;;;;;Διάφορα;5055148411251;;lamberts/myo-inositol-powder-200g-ofarmakopoiosmou-gr-5055148411251.png;https://www.ofarmakopoiosmou.gr/lamberts-myo-inositol-powder-200g;ofarmakopoiosmou.gr;Χωρίς σελίδα
Lamberts Vitamin B-50 Complex;Πλήρες σύμπλεγμα Βιταμινών Β;13,00;21,80;Πλήρες σύμπλεγμα Βιταμινών Β;;;;;;;;Βιταμίνες;5055148400217;1111111017456;lamberts/vitamin-b-50-complex-5055148400217.png;https://lamberts.gr/product/vitamin-b-50-complex/;lamberts.gr;Αυτόματο
Lamberts Vitamin C Time Release 1000mg;Βιταμίνη C των 1000mg, ελεγχόμενης αποδέσμευσης;6,37;10,78;Βιταμίνη C των 1000mg, ελεγχόμενης αποδέσμευσης;;;;;;;;Βιταμίνες;5055148407049;;lamberts/vitamin-c-time-release-1000mg-5055148407049.png;https://lamberts.gr/product/vitamin-c-time-release-1000mg/;lamberts.gr;Αυτόματο
Lamberts Vitamin C Time Release 1000mg;Βιταμίνη C των 1000mg, ελεγχόμενης αποδέσμευσης;12,13;20,30;Βιταμίνη C των 1000mg, ελεγχόμενης αποδέσμευσης;;;;;;;;Βιταμίνες;5055148400293;;lamberts/vitamin-c-time-release-1000mg-5055148400293.png;https://lamberts.gr/product/vitamin-c-time-release-1000mg/;lamberts.gr;Αυτόματο
Lamberts Vitamin C 1000mg - Effervescent tabs;Υψηλής ισχύος αναβράζοντα δισκία Βιταμίνης C;6,50;10,90;Υψηλής ισχύος αναβράζοντα δισκία Βιταμίνης C;;;;;;;;Βιταμίνες;5055148408213;;lamberts/vitamin-c-time-release-1000mg-5055148408213.png;https://lamberts.gr/product/vitamin-c-1000mg-effervescent-tabs/;lamberts.gr;Αυτόματο
Lamberts Vitamin D 2000iu;Βιταμίνη D3 (Χοληκαλσιφερόλη) των 2000iu;15,15;21,00;Βιταμίνη D3 (Χοληκαλσιφερόλη) των 2000iu;;;;;;;;Βιταμίνες;5055148413231;5055148413033;lamberts/vitamin-d-2000iu-5055148413231.png;https://lamberts.gr/product/vitamin-d-2000iu/;lamberts.gr;Αυτόματο
Lamberts Vitamin D 400iu;Βιταμίνη D3 (Χοληκαλσιφερόλη) των 400iu;7,80;13,06;Βιταμίνη D3 (Χοληκαλσιφερόλη) των 400iu;;;;;;;;Βιταμίνες;5055148403942;;lamberts/natural-form-vitamin-e-400iu-5055148403942.png;https://lamberts.gr/product/vitamin-d-400iu-2/;lamberts.gr;Αυτόματο
Lamberts Vitamin D3 2000iu & K2 90 µg;Συνδυασμός υψηλής ισχύος Βιταμινών Κ2 & D3 (2000iu);22,38;37,50;Συνδυασμός υψηλής ισχύος Βιταμινών Κ2 & D3 (2000iu);;;;;;;;Βιταμίνες;5055148411381;;lamberts/vitamin-d3-k2-5055148411381.png;https://lamberts.gr/product/vitamin-d3-2000iu-k2-90-%c2%b5g/;lamberts.gr;Αυτόματο
Lamberts Vegan Vitamin D3 1000iu;Βιταμίνη D3 (Χοληκαλσιφερόλη) των 1000iu φυτικής προελεύσεως;15,15;18,67;Βιταμίνη D3 (Χοληκαλσιφερόλη) των 1000iu φυτικής προελεύσεως;;;;;;;;Βιταμίνες;5055148410599;5055148409623, 5055148407506;lamberts/vitamin-d3-1000iu-gummies-5055148410599.png;https://lamberts.gr/product/vegan-vitamin-d3-1000iu/;lamberts.gr;Αυτόματο
Lamberts Vegan Vitamin D3 1000iu;Βιταμίνη D3 (Χοληκαλσιφερόλη) των 1000iu φυτικής προελεύσεως;5,35;9,00;Βιταμίνη D3 (Χοληκαλσιφερόλη) των 1000iu φυτικής προελεύσεως;;;;;;;;Βιταμίνες;5055148411480;;lamberts/vitamin-d3-1000iu-gummies-5055148411480.png;https://lamberts.gr/product/vegan-vitamin-d3-1000iu/;lamberts.gr;Αυτόματο
Lamberts Vitamin D3 2000iu & K2 90 µg;Συνδυασμός υψηλής ισχύος Βιταμινών Κ2 & D3 (2000iu);30,24;50,63;Συνδυασμός υψηλής ισχύος Βιταμινών Κ2 & D3 (2000iu);;;;;;;;Βιταμίνες;5055148413804;;lamberts/vitamin-d3-2000iu-k2-90-g-5055148413804.png;https://lamberts.gr/product/vitamin-d3-2000iu-k2-90-%c2%b5g/;lamberts.gr;Αυτόματο
Lamberts Vitamin D3 2000iu & K2 90 µg;Συνδυασμός υψηλής ισχύος Βιταμινών Κ2 & D3 (2000iu);7,11;11,90;Συνδυασμός υψηλής ισχύος Βιταμινών Κ2 & D3 (2000iu);;;;;;;;Βιταμίνες;5055148413248;;lamberts/vitamin-d3-2000iu-k2-90-g-5055148413248.png;https://lamberts.gr/product/vitamin-d3-2000iu-k2-90-%c2%b5g/;lamberts.gr;Αυτόματο
Lamberts Vitamin D3 2000iu & K2 90 µg;Συνδυασμός υψηλής ισχύος Βιταμινών Κ2 & D3 (2000iu);7,92;14,30;Συνδυασμός υψηλής ισχύος Βιταμινών Κ2 & D3 (2000iu);;;;;;;;Βιταμίνες;5055148413224;;lamberts/vitamin-d3-2000iu-k2-90-g-5055148413224.png;https://lamberts.gr/product/vitamin-d3-2000iu-k2-90-%c2%b5g/;lamberts.gr;Αυτόματο
Lamberts Vitamin D3 Drops;Φυσική Βιταμίνη D3 σε έξτρα παρθένο ελαιόλαδο;6,06;10,20;Φυσική Βιταμίνη D3 σε έξτρα παρθένο ελαιόλαδο;;;;;;;;Βιταμίνες;5055148411473;;lamberts/vitamin-d-4000iu-100-g-5055148411473.png;https://lamberts.gr/product/vitamin-d3-drops/;lamberts.gr;Για έλεγχο
Lamberts Vitamin D3 Drops;Φυσική Βιταμίνη D3 σε έξτρα παρθένο ελαιόλαδο;18,51;31,00;Φυσική Βιταμίνη D3 σε έξτρα παρθένο ελαιόλαδο;;;;;;;;Βιταμίνες;5055148409326;5055148410544;lamberts/vitamin-d-4000iu-100-g-5055148409326.png;https://lamberts.gr/product/vitamin-d3-drops/;lamberts.gr;Για έλεγχο
Lamberts Vitamin D3 Drops;Φυσική Βιταμίνη D3 σε έξτρα παρθένο ελαιόλαδο;9,98;16,70;Φυσική Βιταμίνη D3 σε έξτρα παρθένο ελαιόλαδο;;;;;;;;Βιταμίνες;5055148412807;;lamberts/vitamin-d3-drops-5055148412807.png;https://lamberts.gr/product/vitamin-d3-drops/;lamberts.gr;Αυτόματο
Lamberts Vitamin K2 90Mcg 60Tabs;;19,00;28,00;Συμπλήρωμα διατροφής Lamberts — LAMBERTS VITAMIN K2 90MCG 60TABS;;;;;;;;Διάφορα;5055148411404;;lamberts/vitamin-d3-k2-5055148411404.png;;;Χωρίς σελίδα
Lamberts Vitex Agnus Castus 1000mg;Υψηλής ισχύος τιτλοδοτημένο εκχύλισμα Λυγαριάς;18,28;31,13;Υψηλής ισχύος τιτλοδοτημένο εκχύλισμα Λυγαριάς;;;;;;;;Διάφορα;5055148403072;5055148401214, 5000453119170;lamberts/vitex-agnus-castus-1000mg-5055148403072.png;https://lamberts.gr/product/vitex-agnus-castus-1000mg/;lamberts.gr;Αυτόματο
Lamberts Zinc (as Citrate) 25mg, 120tabs;;10,70;17,90;Lamberts Zinc (as Citrate) 25mg, 120tabs - Συμπλήρωμα Διατροφής με Κιτρικό Ψευδάργυρο Υψηλής Απορροφησιμότητας για την Καλή Λειτουργία του Ανοσοποιητικού & Υγιή Μαλλιά, Νύχια & Δόντια;;;;;;;;Διάφορα;5055148410032;;lamberts/zinc-as-citrate-25mg-120tabs-pharm24-gr-5055148410032.jpg;https://www.pharm24.gr/lamberts-zinc-as-citrate-25mg-120tabs-p-14431.html;pharm24.gr;Χωρίς σελίδα
Lamberts ΑCidophilus Extra4(Milk Free)30Caps;;12,99;22,10;Συμπλήρωμα διατροφής Lamberts — LAMBERTS ΑCIDOPHILUS EXTRA4(MILK FREE)30CAPS;;;;;;;;Διάφορα;5055148411558;5055148405816;;;;Χωρίς σελίδα
